,Disabled,Type,Set,Position,Sign ,Weight,Type Relative,Relative Set,Relative
0,False,Assets,,ABG.JO,<=,0.025,,,
1,False,Assets,,INL.JO,<=,0.025,,,
2,False,Assets,,NED.JO,<=,0.025,,,
3,False,Assets,,SOL.JO,<=,0.025,,,
4,False,Assets,,ADH.JO,<=,0.025,,,
5,False,Assets,,AVI.JO,<=,0.025,,,
6,False,Assets,,TBS.JO,<=,0.025,,,
7,False,Assets,,BAW.JO,<=,0.025,,,
8,False,Assets,,MNP.JO,<=,0.025,,,
9,False,Assets,,NTC.JO,<=,0.025,,,
10,False,Assets,,SAP.JO,<=,0.025,,,
11,False,Assets,,ARI.JO,<=,0.025,,,
12,False,Assets,,GLN.JO,<=,0.025,,,
13,False,Assets,,KIO.JO,<=,0.025,,,
14,False,Assets,,QLT.JO,<=,0.025,,,
15,False,Assets,,RNI.JO,<=,0.025,,,
16,False,Assets,,REM.JO,<=,0.025,,,
17,False,Assets,,DSY.JO,<=,0.025,,,
18,False,Assets,,MTM.JO,<=,0.025,,,
19,False,Assets,,OMU.JO,<=,0.025,,,
20,False,Assets,,OUT.JO,<=,0.025,,,
21,False,Assets,,EXX.JO,<=,0.025,,,
22,False,Assets,,CLS.JO,<=,0.025,,,
23,False,Assets,,SPP.JO,<=,0.025,,,
24,False,Assets,,APN.JO,<=,0.025,,,
25,False,Assets,,AMS.JO,<=,0.025,,,
26,False,Assets,,DRD.JO,<=,0.025,,,
27,False,Assets,,IMP.JO,<=,0.025,,,
28,False,Assets,,NPH.JO,<=,0.025,,,
29,False,Assets,,SSW.JO,<=,0.025,,,
30,False,Assets,,FFB.JO,<=,0.025,,,
31,False,Assets,,GRT.JO,<=,0.025,,,
32,False,Assets,,RDF.JO,<=,0.025,,,
33,False,Assets,,RES.JO,<=,0.025,,,
34,False,Assets,,MTH.JO,<=,0.025,,,
35,False,Assets,,MRP.JO,<=,0.025,,,
36,False,Assets,,TFG.JO,<=,0.025,,,
37,False,Assets,,TRU.JO,<=,0.025,,,
38,False,Assets,,WHL.JO,<=,0.025,,,
39,False,Assets,,MCG.JO,<=,0.025,,,
40,False,Assets,,VOD.JO,<=,0.025,,,