Disabled,Type,Set,Position,Sign,Weight,Type Relative,Relative Set,Relative
False,Assets,,ABG.JO,<=,0.01511111111,,,
False,Assets,,INL.JO,<=,0.01511111111,,,
False,Assets,,NED.JO,<=,0.01511111111,,,
False,Assets,,SOL.JO,<=,0.03366937669,,,
False,Assets,,ADH.JO,<=,0.01511111111,,,
False,Assets,,AVI.JO,<=,0.0243902439,,,
False,Assets,,TBS.JO,<=,0.0243902439,,,
False,Assets,,MNP.JO,<=,0.0243902439,,,
False,Assets,,NTC.JO,<=,0.0243902439,,,
False,Assets,,SAP.JO,<=,0.0243902439,,,
False,Assets,,ARI.JO,<=,0.03366937669,,,
False,Assets,,GLN.JO,<=,0.03366937669,,,
False,Assets,,KIO.JO,<=,0.03366937669,,,
False,Assets,,QLT.JO,<=,0.01511111111,,,
False,Assets,,RNI.JO,<=,0.0243902439,,,
False,Assets,,REM.JO,<=,0.0243902439,,,
False,Assets,,DSY.JO,<=,0.01511111111,,,
False,Assets,,MTM.JO,<=,0.01511111111,,,
False,Assets,,OMU.JO,<=,0.0243902439,,,
False,Assets,,OUT.JO,<=,0.01511111111,,,
False,Assets,,EXX.JO,<=,0.03366937669,,,
False,Assets,,CLS.JO,<=,0.0243902439,,,
False,Assets,,SPP.JO,<=,0.0243902439,,,
False,Assets,,APN.JO,<=,0.0243902439,,,
False,Assets,,AMS.JO,<=,0.06733875338,,,
False,Assets,,DRD.JO,<=,0.0243902439,,,
False,Assets,,IMP.JO,<=,0.03366937669,,,
False,Assets,,NPH.JO,<=,0.0243902439,,,
False,Assets,,SSW.JO,<=,0.03366937669,,,
False,Assets,,FFB.JO,<=,0.01511111111,,,
False,Assets,,GRT.JO,<=,0.0243902439,,,
False,Assets,,RDF.JO,<=,0.0243902439,,,
False,Assets,,RES.JO,<=,0.0243902439,,,
False,Assets,,MTH.JO,<=,0.0243902439,,,
False,Assets,,MRP.JO,<=,0.0243902439,,,
False,Assets,,TFG.JO,<=,0.0243902439,,,
False,Assets,,TRU.JO,<=,0.0243902439,,,
False,Assets,,WHL.JO,<=,0.03366937669,,,
False,Assets,,MCG.JO,<=,0.0243902439,,,
False,Assets,,VOD.JO,<=,0,,,
False,Assets,,BAW.JO,<=,0.0243902439,,,